Id,Buyer User Id,Date and Time,Location,Location Id,Universe Id,Universe,Asset Id,Asset Name,Asset Type,Hold Status,Revenue,Price
rQsw3ecMsgouM5b3WeQnDw,1300026766,2023-08-07T20:46:59.557Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
0ZA6NhVxk1ZslL4ClvEXvg,4356452232,2023-08-07T20:45:26.363Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
gSwUD48BU3bqfLi0jF10fw,1639102664,2023-08-07T20:45:10.267Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
xzpZ5YeDrHnZedDfTj6Kng,1316185453,2023-08-07T20:44:48.443Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23779790,💰 1K 💰,Developer Product,Held,1.0,10.0
O1YRbX355M5ejYq+yXUr4A,1316185453,2023-08-07T20:44:40.350Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23779790,💰 1K 💰,Developer Product,Held,1.0,10.0
1rEMGRPGfa2KdzdGgNJwhA,1316185453,2023-08-07T20:44:29.393Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23780019,💰 10K 💰,Developer Product,Held,1.0,45.0
aw47XsPQIrxjoPXG/nMjNg,1316185453,2023-08-07T20:44:21.770Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23779790,💰 1K 💰,Developer Product,Held,1.0,10.0
vAq71icVut39Q2FXPTlqDA,4709083833,2023-08-07T20:44:14.820Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
f/ahgK4d67BZGVmS8T1Qjw,1849527342,2023-08-07T20:44:02.790Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
cZcS8dcA0g5Q+26NPxSmEw,897119686,2023-08-07T20:43:51.713Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
7p8Wr9LbOEHQjvOndYkBUQ,1590741981,2023-08-07T20:43:46.330Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23780223,💰 1 MILLION 💰,Developer Product,Held,1.0,500.0
q9s8LKt/Fhru5Zj65Zc/Uw,4587984410,2023-08-07T20:43:11.027Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
AESqjLDkri09x4ZldTh8sQ,2003398739,2023-08-07T20:42:57.687Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
f9TdWdbN+zm7qH+KxitqTQ,4903607067,2023-08-07T20:42:57.640Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
6BBSEYWEk3hdhfEn1vYojg,1590741981,2023-08-07T20:42:44.790Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23780287,💰 5M 💰,Developer Product,Held,2.0,800.0
